,,,,,UVa Bookstores Web List,,,10/23/2019,,9:48:28AM
,,,,,Copyright University of Virginia,,,,,
Term,Dept,Course,Sect,Instructor,Title,Author,Req Type,ISBN,New,Used
2019VUVA,ANTH,4591,2,HAINES,ARCHAEOLOGY OF SLAVERY,MARSHALL,Required,0-8093-3397-X,$50.00,$37.50
2019VUVA,ANTH,4591,2,HAINES,BLACK FEMINIST ARCHAEOLOGY,BATTLE-BAPTISTE,Required,1-59874-379-1,$45.95,$29.95
2019VUVA,ANTH,5210,1,DAMON,AMERICAN KINSHIP,SCHNEIDER,Required,0-226-73930-9,$23.00,$17.16
2019VUVA,ANTH,5210,1,DAMON,REMOTELY GLOBAL,PIOT,Attnd First,0-226-66969-6,$28.00,$20.90
2019VUVA,ANTH,5210,1,DAMON,ELEMENTARY STRUCTURES OF KINSHIP,LEVI-STRAUSS,Required,0-8070-4669-8,$43.00,$32.09
2019VUVA,ANTH,5210,1,DAMON,DEVELOPMENT OF THE FAMILY & MARRIAGE IN EUROPEGOODY,,Required,978-0-521-28925-2,$34.99,$26.25
2019VUVA,ANTH,5210,1,DAMON,FIXER,PIOT,Attnd First,978-1-4780-0304-5,$24.95,$18.70
2019VUVA,ANTH,5210,1,DAMON,(eBook) The Development of the Family and Marriage in EuropeGOODY,,Optional,978-1-316-04084-3,$26.13,$0.00
2019VUVA,ANTH,5210,1,DAMON,(eBook) American Kinship,SCHNEIDER,Optional,978-0-226-22709-2,$21.47,$0.00
2019VUVA,ANTH,5470,1,LEFKOWITZ,DEAF IN AMERICA,PADDEN,Required,0-674-19424-1,$29.00,$14.43
2019VUVA,ANTH,5470,1,LEFKOWITZ,HOMEGIRLS,MENDOZA-DENTONRequired,,0-631-23490-X,$48.95,$38.06
2019VUVA,ANTH,5470,1,LEFKOWITZ,ARTICULATE WHILE BLACK,ALIM,Required,0-19-981298-5,$29.22,$22.36
2019VUVA,ANTH,5470,1,LEFKOWITZ,RECLAIMING BASQUE,URLA,Required,0-87417-965-3,$34.95,$26.09
2019VUVA,ANTH,5470,1,LEFKOWITZ,PLAYING WITH LANGUAGES,PAUGH,Required,1-78238-516-9,$34.95,$26.09
2019VUVA,ANTH,5470,1,LEFKOWITZ,BECOMING FRUM,BENOR,Required,978-0-8135-5389-4,$33.95,$23.10
2019VUVA,ANTH,5510,1,"SHEPHERD,JOHN R",ANXIOUS WEALTH,OSBURG,Required,978-0-8047-8354-5,$24.00,$21.64
2019VUVA,ANTH,5510,1,"SHEPHERD,JOHN R",GOOD CHILD,XU,Required,1-5036-0243-5,$28.00,$21.00
2019VUVA,ANTH,5510,1,"SHEPHERD,JOHN R",INFECTIOUS CHANGER,"MASON,KATHERINERequired",,978-0-8047-9892-1,$28.00,$21.00
2019VUVA,ANTH,5510,1,"SHEPHERD,JOHN R",THE WORLD IN GUANGXHOU,"MATTHEWS,GORDONRequired",,0-226-50610-X,$27.50,$20.52
,,,,,Page 3 of 79,,,,,
Term,Dept,Course,Sect,Instructor,Title,Author,Req Type,ISBN,New,Used
2019VUVA,ANTH,5510,1,"SHEPHERD,JOHN R",CHOOSING DAUGHTERS,"SHI,LIHONG",Required,978-1-5036-0293-9,$28.00,$13.91
2019VUVA,ANTH,5510,1,"SHEPHERD,JOHN R",BUILDING CHINA,"SWINDER,SARAH",Required,978-0-8014-5693-0,$24.95,$18.71
2019VUVA,ANTH,5510,1,"SHEPHERD,JOHN R",CENSORED,ROBERTS,Required,978-0-691-17886-8,$29.90,$22.45
2019VUVA,ANTH,5510,1,"SHEPHERD,JOHN R",(eBook) Censored,ROBERTS,Optional,978-1-4008-9005-7,$27.95,$0.00
2019VUVA,ANTH,5541,1,MIRZAYAN,INTRO TO LINGUISTIC TYPOLOGY,VELUPILLAI,Required,978-90-272-1199-6,$49.95,$37.28
2019VUVA,ANTH,5559,1,"ZIGON, JARRETT",ON THE GENEALOGY MORALS & ECCE HOMO,NIETZSCHE,Recommended,0-679-72462-1,$10.87,$7.93
2019VUVA,ANTH,5559,1,"ZIGON, JARRETT",BEING & TIME REV & W/FOREWORD BY SCHMIDT,HEIDEGGER,Required,1-4384-3276-3,$21.95,$14.15
2019VUVA,ANTH,5559,1,"ZIGON, JARRETT",HUMAN CONDITION,ARENDT,Required,978-0-226-02598-8,$19.00,$11.34
2019VUVA,ANTH,5559,1,"ZIGON, JARRETT",A WAR ON PEOPLE,ZIGON,Required,0-520-29770-9,$34.95,$24.45
2019VUVA,ANTH,5559,1,"ZIGON, JARRETT",BLACKPENTECOSTAL BREATH,CRAWLEY,Required,0-8232-7455-1,$25.00,$17.49
2019VUVA,ANTH,5559,1,"ZIGON, JARRETT",CARNAL HERMENEUTICS,KEARNEY,Required,978-0-8232-6589-3,$40.00,$30.00
2019VUVA,ANTH,5559,1,"ZIGON, JARRETT",NATALITY AND FINITUDE,O'BYRNE,Required,978-0-253-22241-1,$22.95,$17.20
2019VUVA,ANTH,5559,1,"ZIGON, JARRETT",ETHICAL LONELINESS,STAUFFER,Required,978-0-231-17151-9,$27.00,$20.25
2019VUVA,ANTH,5559,1,"ZIGON, JARRETT",LIFE AND DEATH OF LATISHA KING,SALAMON,Required,978-1-4798-9252-5,$23.00,$17.25
2019VUVA,ANTH,5559,1,"ZIGON, JARRETT",SOLITARY CONFINEMENT,GUENTHER,Required,978-0-8166-7959-1,$25.00,$18.66
2019VUVA,ANTH,5559,1,"ZIGON, JARRETT",(eBook) The Life and Death of Latisha King,SALAMON,Optional,978-1-4798-1052-9,$24.00,$0.00
2019VUVA,ANTH,5559,1,"ZIGON, JARRETT",HOMO SACER,AGAMBEN,Required,978-0-8047-3218-5,$24.00,$17.21
2019VUVA,ANTH,5589,1,ALCONINI,LAND OF OPEN GRAVES,DE LEÓN,Required,978-0-520-28275-9,$29.95,$22.50
